StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,freq,know,freq2,deterministic_1,deterministic_2,deterministic_3,deterministic_4,deterministic_5,deterministic_6,deterministic_7,deterministic_8,probabilistic_1,probabilistic_2,probabilistic_3,probabilistic_4,probabilistic_5,probabilistic_6,probabilistic_7,probabilistic_8,hover,PROLIFIC_PID,STUDY_ID,SESSION_ID,condition
2023-06-24 22:50:21,2023-06-24 22:52:01,0,67.248.92.76,100,99,1,2023-06-24 22:52:02,R_3HBVNxPDpraBs8k,,,,,42.6552,-73.802,anonymous,EN,1,1,1,4,4,3,3,3,3,2,3,,,,,,,,,1,62857f4aa4dcc9a234786ae3,6497af9b5812d44d19ee6a07,6497c785dd818e74cd5514cb,deterministic
2023-06-24 22:52:48,2023-06-24 22:54:09,0,50.39.164.240,100,81,1,2023-06-24 22:54:10,R_3fr5Qk4HPzFHa9w,,,,,45.5397,-122.9638,anonymous,EN,2,3,2,,,,,,,,,1,1,2,2,1,2,3,2,4,5ec21c91ffe1af65eb58b52a,6497af9b5812d44d19ee6a07,6497c81add818e74cd5514e2,probabilistic
2023-06-24 22:51:59,2023-06-24 22:54:28,0,72.111.22.3,100,148,1,2023-06-24 22:54:28,R_3QQ78JNtk6NXPHK,,,,,33.5093,-112.0563,anonymous,EN,1,1,4,4,3,4,4,4,4,3,3,,,,,,,,,4,64605d6135d433e2e9d7bf29,6497af9b5812d44d19ee6a07,6497c7e04dd57029d43f6b9a,deterministic
2023-06-24 22:53:36,2023-06-24 22:55:03,0,73.77.176.16,100,86,1,2023-06-24 22:55:04,R_246LZO5pG9SnHaM,,,,,29.5799,-95.6085,anonymous,EN,2,1,2,,,,,,,,,2,2,2,2,2,2,4,2,2,630007a81cf7b634269e973c,6497af9b5812d44d19ee6a07,6497c84e68785750cbac73ca,probabilistic
2023-06-24 22:56:58,2023-06-24 22:57:36,0,23.240.199.189,100,37,1,2023-06-24 22:57:37,R_3spupUkqef5JfDT,,,,,34.1283,-118.0514,anonymous,EN,3,3,2,,,,,,,,,2,2,2,1,3,2,4,5,5,63cb23389133d3f76db2336a,6497af9b5812d44d19ee6a07,6497c914943e3c553669345b,probabilistic
2023-06-24 22:55:54,2023-06-24 22:57:42,0,75.54.118.176,100,107,1,2023-06-24 22:57:42,R_AHXFu5JyAw4mIKt,,,,,34.0544,-118.2441,anonymous,EN,4,2,4,,,,,,,,,3,4,3,3,3,3,4,4,3,63e5b96c546f7b99d7d44c89,6497af9b5812d44d19ee6a07,6497c8cf269fef234226b19f,probabilistic
2023-06-24 22:56:30,2023-06-24 22:57:50,0,66.16.16.106,100,80,1,2023-06-24 22:57:52,R_OEkzquTLsLELvyx,,,,,34.0737,-81.1863,anonymous,EN,1,1,2,,,,,,,,,3,2,4,2,2,3,3,2,3,5f1278c939871c1d0f85d700,6497af9b5812d44d19ee6a07,6497c8f5b4f9af687213a66a,probabilistic
2023-06-24 22:56:49,2023-06-24 22:58:27,0,73.252.92.158,100,98,1,2023-06-24 22:58:28,R_241b6a6nREP3Zij,,,,,32.3705,-90.1746,anonymous,EN,1,1,4,4,2,3,4,4,3,1,2,,,,,,,,,3,5d314336c01c5f00171f3cb2,6497af9b5812d44d19ee6a07,6497c8c5642019b20eee6a58,deterministic
2023-06-24 22:56:02,2023-06-24 22:58:28,0,75.15.233.68,100,146,1,2023-06-24 22:58:28,R_3EsVf5EVYolGSY9,,,,,29.7646,-95.3657,anonymous,EN,5,3,6,5,5,3,4,4,4,3,4,,,,,,,,,3,62bd822279bf752b126baba6,6497af9b5812d44d19ee6a07,6497c8d836113af011c20dd1,deterministic
2023-06-24 22:55:04,2023-06-24 22:58:34,0,108.244.222.232,100,209,1,2023-06-24 22:58:34,R_OCKHRZzIAPRwmpH,,,,,29.7646,-95.3657,anonymous,EN,1,2,4,4,3,4,4,4,4,4,4,,,,,,,,,5,644937c89b446a14875aed54,6497af9b5812d44d19ee6a07,6497c89ce06bc6c16e5f4df0,deterministic
